style_level,style_name_zh,classification_reason,domain,collection_category,arxiv_id,published,updated,primary_category,paper_title,abstract_url,pdf_url,figure,page,caption,file,sha256,classified_file
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,composition-planning,2511.19483v1,2025-11-23,2025-11-23,cs.SE,Z-Space: A Multi-Agent Tool Orchestration Framework for Enterprise-Grade LLM Automation,https://arxiv.org/abs/2511.19483v1,https://arxiv.org/pdf/2511.19483v1,Figure 1,3,Figure 1: Architecture of Z-Space,composition-planning/06_2511.19483_z-space-a-multi-agent-tool-orchestrati_fig-1.png,97234127ed0fd49d75c1ebc8601c59302ddd3062d701e8c77f6407417216bcf8,style-classification/level-1-line-and-basic-shapes/composition-planning__06_2511.19483_z-space-a-multi-agent-tool-orchestrati_fig-1.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,composition-planning,2509.00189v1,2025-08-29,2025-08-29,cs.AI,HiVA: Self-organized Hierarchical Variable Agent via Goal-driven Semantic-Topological Evolution,https://arxiv.org/abs/2509.00189v1,https://arxiv.org/pdf/2509.00189v1,Figure 16,21,"Figure 16: Illustration of dynamic subgraph construction. From the complete agent graph, the KABB routing mechanism activates only a relevant subset of agents (highlighted in gray) to handle a specific “Code Generation” task, thereby creating an efficient and specialized workflow.",composition-planning/08_2509.00189_hiva-self-organized-hierarchical-varia_fig-16.png,5f8d5959e47f1d4d86679af50688203736c18d81b7a9c31c902c6917881451ec,style-classification/level-1-line-and-basic-shapes/composition-planning__08_2509.00189_hiva-self-organized-hierarchical-varia_fig-16.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,composition-planning,2509.17197v2,2025-09-21,2025-10-30,cs.LG,SignalLLM: A General-Purpose LLM Agent Framework for Automated Signal Processing,https://arxiv.org/abs/2509.17197v2,https://arxiv.org/pdf/2509.17197v2,Figure 1,3,"Fig. 1: Overview of the SignalLLM framework. SignalLLM operates in two main stages. Stage 1 focuses on tailored planning, where user requests are processed through task decomposition, subtask planning, and solution refinement. Stage 2 is dedicated to execution, carrying out the plan using either the LLM-Assisted SP Reasoning Module for reasoning-based tasks or the LLM-Assisted SP Modeling Module for tasks requiring LLM-assisted model creation.",composition-planning/09_2509.17197_signalllm-a-general-purpose-llm-agent-_fig-1.png,8e24e018793083c4cdbf5948fd406d7a8f3fd1d3bea7350d93cad50c7d867873,style-classification/level-1-line-and-basic-shapes/composition-planning__09_2509.17197_signalllm-a-general-purpose-llm-agent-_fig-1.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,composition-planning,2510.04023v1,2025-10-05,2025-10-05,cs.AI,"LLM-Based Data Science Agents: A Survey of Capabilities, Challenges, and Future Directions",https://arxiv.org/abs/2510.04023v1,https://arxiv.org/pdf/2510.04023v1,Figure 3,8,"Fig. 3. Two-agent data-science workflow: Agent A retrieves data and writes code, while Agent B reviews the code, suggests fixes, and validates visualizations using a shared Global Memory and Tool Hub.",composition-planning/11_2510.04023_llm-based-data-science-agents-a-survey_fig-3.png,751b70f02c4d1bd5821d429899f369a60768f046a52cc72c4e4c65313ed6b781,style-classification/level-1-line-and-basic-shapes/composition-planning__11_2510.04023_llm-based-data-science-agents-a-survey_fig-3.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,composition-planning,2510.04023v1,2025-10-05,2025-10-05,cs.AI,"LLM-Based Data Science Agents: A Survey of Capabilities, Challenges, and Future Directions",https://arxiv.org/abs/2510.04023v1,https://arxiv.org/pdf/2510.04023v1,Figure 2,7,"Fig. 2. Multi-agent architecture where a Manager assigns tasks to Workers. Workers coordinate via a shared Global Memory, invoke external resources through a Tool Hub, maintain local memories, and exchange peer-to-peer messages.",composition-planning/12_2510.04023_llm-based-data-science-agents-a-survey_fig-2.png,b51e0d1fcafc5d6d4cd2734fcacc246042adc4a25ab7250b999813e45919d462,style-classification/level-1-line-and-basic-shapes/composition-planning__12_2510.04023_llm-based-data-science-agents-a-survey_fig-2.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,skill-acquisition,2309.01352v1,2023-09-04,2023-09-04,cs.CL,Self-driven Grounding: Large Language Model Agents with Automatical Language-aligned Skill Learning,https://arxiv.org/abs/2309.01352v1,https://arxiv.org/pdf/2309.01352v1,Figure 2,4,Figure 2: Overview of Self-Driven Grounding (SDG) framework. (a) Hypothesis: try to decompose tasks; (b) Verification: leverage efficient interaction with the environment to verify the results of hypothesis; (c) Induction: group successful experience to train generalized skills; (d) Deduction: build few-shot planner to solve tasks using acquired skills.,skill-acquisition/08_2309.01352_self-driven-grounding-large-language-m_fig-2.png,cd6241fdf6752ca21fbb5f197d3ab36a5406648b1821e007f391ef9c8ab5ac7e,style-classification/level-1-line-and-basic-shapes/skill-acquisition__08_2309.01352_self-driven-grounding-large-language-m_fig-2.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,skill-acquisition,2604.20133v3,2026-04-22,2026-06-24,cs.AI,EvoAgent: An Evolvable Agent Framework with Skill Learning and Multi-Agent Delegation,https://arxiv.org/abs/2604.20133v3,https://arxiv.org/pdf/2604.20133v3,Figure 1,5,Figure 1: EvoAgent System Architecture,skill-acquisition/11_2604.20133_evoagent-an-evolvable-agent-framework-_fig-1.png,703bf76b845c99ae8ec1a73b3e8496b8468a9e8fdcccea7e1765d2077a6a606d,style-classification/level-1-line-and-basic-shapes/skill-acquisition__11_2604.20133_evoagent-an-evolvable-agent-framework-_fig-1.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,skill-library-memory,2606.31252v1,2026-06-30,2026-06-30,cs.AI,Embodied CAD: Solver-Grounded LLM Agents for Parametric B-Rep Assembly Modeling,https://arxiv.org/abs/2606.31252v1,https://arxiv.org/pdf/2606.31252v1,Figure 1,2,"Figure 1: Overview of Embodied CAD. The LLM planner predicts skill-level actions or operation families. A deterministic resolver instantiates typed arguments, the skill executor calls the CAD backend, and the solver returns execution diagnostics. The same feedback supports online repair and training rewards.",skill-library-memory/07_2606.31252_embodied-cad-solver-grounded-llm-agent_fig-1.png,7dbeee50bde2063c3ee2ea28003aa31d9f386b1a43f72af725df1693ffac2a8f,style-classification/level-1-line-and-basic-shapes/skill-library-memory__07_2606.31252_embodied-cad-solver-grounded-llm-agent_fig-1.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,skill-library-memory,2308.12503v2,2023-08-24,2023-08-28,cs.AI,CGMI: Configurable General Multi-Agent Interaction Framework,https://arxiv.org/abs/2308.12503v2,https://arxiv.org/pdf/2308.12503v2,Figure 3,4,Figure 3: The cognitive architecture with skill library.,skill-library-memory/11_2308.12503_cgmi-configurable-general-multi-agent-_fig-3.png,1dc7661f076d895bf253581794d6fac7cfcbefc1ad5bfbbc8b80383505f8dba7,style-classification/level-1-line-and-basic-shapes/skill-library-memory__11_2308.12503_cgmi-configurable-general-multi-agent-_fig-3.png
1,纯线条与基本图形,以框、箭头、文字与几何模块为主体，具象图形占比低。,Agent Skill,tool-use-generation,2503.10071v1,2025-03-13,2025-03-13,cs.AI,Advanced Tool Learning and Selection System (ATLASS): A Closed-Loop Framework Using LLM,https://arxiv.org/abs/2503.10071v1,https://arxiv.org/pdf/2503.10071v1,Figure 1,4,"Fig. 1: Overview of ATLASS workflow, with Tool Requirements Analysis, Tool Retrieval/Generation, and Task Execution.",tool-use-generation/09_2503.10071_advanced-tool-learning-and-selection-s_fig-1.png,437ba60e6c6fbeabea0c979ece90cc3e45593352d9c2b40b6db06871c2f07a86,style-classification/level-1-line-and-basic-shapes/tool-use-generation__09_2503.10071_advanced-tool-learning-and-selection-s_fig-1.png
